time,seconds_elapsed,z,y,x
1740007286850083800,0.024083740234375,0.24022085964679718,0.29507318139076233,0.9976686239242554
1740007286860065800,0.034065673828125,0.30412954092025757,0.47589728236198425,1.1198920011520386
1740007286870047700,0.0440478515625,0.37494325637817383,0.7343237996101379,1.2469916343688965
1740007286880029700,0.05402978515625,0.43829798698425293,1.0498535633087158,1.4127187728881836
1740007286890012000,0.064011962890625,0.4653490483760834,1.5163873434066772,1.5050129890441895
1740007286899993900,0.073993896484375,0.48927807807922363,1.9244757890701294,1.6232062578201294
1740007286909976800,0.083976806640625,0.3261152505874634,2.4458093643188477,1.8092703819274902
1740007286919958800,0.093958740234375,0.15767990052700043,2.9972221851348877,1.9268425703048706
1740007286929940700,0.103940673828125,0.022351378574967384,3.5436577796936035,1.9328773021697998
1740007286939922700,0.113922607421875,-0.10052021592855453,3.808493137359619,1.9244015216827393
1740007286949904600,0.123904541015625,-0.233492910861969,4.2508463859558105,1.848283052444458
1740007286959886800,0.133886962890625,-0.3427554965019226,4.586049556732178,1.7908504009246826
1740007286969868800,0.143868896484375,-0.4149084985256195,4.830657958984375,1.763859510421753
1740007286979850800,0.153850830078125,-0.4625559151172638,4.943146228790283,1.7514123916625977
1740007286989833000,0.1638330078125,-0.4807399809360504,4.848268032073975,1.688161015510559
1740007286999814700,0.173814697265625,-0.496012419462204,4.5844221115112305,1.5366162061691284
1740007287009796900,0.183796875,-0.5450486540794373,4.3011860847473145,1.301339864730835
1740007287019778800,0.19377880859375,-0.648173987865448,4.2144365310668945,0.9490392804145813
1740007287029760800,0.2037607421875,-0.8251775503158569,4.574058532714844,0.5715452432632446
1740007287039742700,0.21374267578125,-0.9597590565681458,5.087160587310791,0.29028454422950745
1740007287049725000,0.223724853515625,-1.0199171304702759,4.550923824310303,-0.07884927839040756
1740007287059706600,0.23370654296875,-1.107982873916626,4.1384735107421875,-0.5847598910331726
1740007287069688800,0.243688720703125,-1.3246313333511353,4.142349720001221,-1.1636501550674438
1740007287079671800,0.253671875,-1.6945537328720093,4.3084893226623535,-1.7683954238891602
1740007287089653800,0.26365380859375,-2.081637144088745,4.343860149383545,-2.325770139694214
1740007287099635700,0.2736357421875,-2.381155014038086,4.16884183883667,-2.738873243331909
1740007287109617700,0.28361767578125,-2.575676202774048,3.9393091201782227,-2.9537770748138428
1740007287119599900,0.293599853515625,-2.6624865531921387,3.5573205947875977,-2.983771562576294
1740007287129581600,0.30358154296875,-2.6360864639282227,3.040856122970581,-2.885263681411743
1740007287139563800,0.313563720703125,-2.5470757484436035,2.5967633724212646,-2.781000852584839
1740007287149545700,0.323545654296875,-2.4100418090820312,2.441901922225952,-2.8237617015838623
1740007287159527700,0.333527587890625,-2.2629828453063965,2.4741666316986084,-3.0827982425689697
1740007287169510000,0.343510009765625,-2.168773889541626,2.653325319290161,-3.49943208694458
1740007287179491800,0.353491943359375,-2.139838695526123,2.683441638946533,-3.928493022918701
1740007287189473800,0.363473876953125,-2.1700432300567627,2.550605058670044,-4.209222793579102
1740007287199455700,0.373455810546875,-2.1842024326324463,2.4714574813842773,-4.272449016571045
1740007287209438000,0.38343798828125,-2.1518309116363525,2.2845077514648438,-4.141852855682373
1740007287219419600,0.393419677734375,-2.0952916145324707,2.0257325172424316,-3.864839553833008
1740007287229401900,0.40340185546875,-2.052520990371704,1.831561803817749,-3.449540138244629
1740007287239383800,0.4133837890625,-2.0453648567199707,1.7287800312042236,-2.944537401199341
1740007287249366800,0.42336669921875,-2.080793619155884,1.7458128929138184,-2.387066602706909
1740007287259349000,0.433348876953125,-2.1334214210510254,1.8811578750610352,-1.8237534761428833
1740007287269331000,0.4433310546875,-2.1601076126098633,2.077186346054077,-1.263016939163208
1740007287279313000,0.45331298828125,-2.066563129425049,2.2084922790527344,-0.7281045317649841
1740007287289294800,0.463294921875,-1.8454952239990234,2.1826722621917725,-0.251420259475708
1740007287299276800,0.47327685546875,-1.5871566534042358,1.9719434976577759,0.16282354295253754
1740007287309259000,0.483259033203125,-1.3709266185760498,1.7217410802841187,0.4959772527217865
1740007287319240700,0.49324072265625,-1.253173828125,1.49516761302948,0.7360135912895203
1740007287329223000,0.503222900390625,-1.2377725839614868,1.2942712306976318,0.8492959141731262
1740007287339204900,0.513204833984375,-1.303674340248108,1.1214659214019775,0.8191494345664978
1740007287349186800,0.523186767578125,-1.4003244638442993,0.9617196321487427,0.6919292211532593
1740007287359168800,0.533168701171875,-1.5478616952896118,0.722214937210083,0.4657168388366699
1740007287369151000,0.54315087890625,-1.7978465557098389,0.3829154372215271,0.16214150190353394
1740007287379132700,0.553132568359375,-2.0711607933044434,0.053293582051992416,-0.1791958510875702
1740007287389115000,0.563114990234375,-2.2392380237579346,-0.19674289226531982,-0.5234515070915222
1740007287399097000,0.57309716796875,-2.322713851928711,-0.44059017300605774,-0.8538283705711365
1740007287409079800,0.583079833984375,-2.3831303119659424,-0.6331148743629456,-1.1148955821990967
1740007287419062000,0.59306201171875,-2.4376871585845947,-0.7212183475494385,-1.266158938407898
1740007287429043700,0.603043701171875,-2.402679681777954,-0.7684479355812073,-1.2749545574188232
1740007287439026000,0.61302587890625,-2.2775814533233643,-0.7637367844581604,-1.163209319114685
1740007287449007900,0.6230078125,-2.0650315284729004,-0.782223641872406,-0.9438831210136414
1740007287458989800,0.63298974609375,-1.7463699579238892,-0.8891834020614624,-0.640697717666626
1740007287468972000,0.642971923828125,-1.3150126934051514,-1.08735191822052,-0.25996047258377075
1740007287478953700,0.65295361328125,-0.8523207306861877,-1.2881046533584595,0.2292177379131317
1740007287488936000,0.66293603515625,-0.4027165472507477,-1.4961180686950684,0.7963925004005432
1740007287498918000,0.67291796875,0.01919633150100708,-1.6649984121322632,1.4065791368484497
1740007287508899800,0.68289990234375,0.4108184278011322,-1.646005630493164,2.0078511238098145
1740007287518881800,0.6928818359375,0.8135395050048828,-1.4700827598571777,2.463686943054199
1740007287528864000,0.702864013671875,1.170827031135559,-1.134734034538269,2.855163097381592
1740007287538845700,0.712845703125,1.474772572517395,-0.8297621607780457,3.145273208618164
1740007287548828000,0.722827880859375,1.74153470993042,-0.5657898783683777,3.29972767829895
1740007287558809900,0.732809814453125,1.9657639265060425,-0.28698596358299255,3.319399356842041
1740007287568791800,0.742791748046875,2.16933536529541,-0.06564345955848694,3.1926896572113037
1740007287578774000,0.75277392578125,2.3574483394622803,0.1172078475356102,2.8988730907440186
1740007287588756700,0.7627568359375,2.519887685775757,0.2780771553516388,2.452369213104248
1740007287598739000,0.772739013671875,2.657806634902954,0.4384537935256958,1.8837872743606567
1740007287608721000,0.782720947265625,2.810939311981201,0.49691763520240784,1.263985276222229
1740007287618702800,0.792702880859375,2.975587844848633,0.33640676736831665,0.6317180395126343
1740007287628684800,0.802684814453125,3.143699884414673,-0.0084275733679533,0.010755442082881927
1740007287638666800,0.812666748046875,3.258436918258667,-0.5329352617263794,-0.5692245960235596
1740007287648649000,0.82264892578125,3.262261152267456,-1.2685978412628174,-1.0854780673980713
1740007287658631000,0.832630859375,3.197585344314575,-2.0040054321289062,-1.4652509689331055
1740007287668612900,0.84261279296875,3.111586093902588,-2.507650852203369,-1.718197226524353
1740007287678594800,0.8525947265625,2.994786024093628,-2.669696092605591,-1.8572025299072266
1740007287688577000,0.862576904296875,2.814059019088745,-2.4977638721466064,-1.8745408058166504
1740007287698558700,0.872558837890625,2.608738899230957,-2.2070720195770264,-1.7389107942581177
1740007287708541000,0.882541015625,2.4702818393707275,-1.972473382949829,-1.477668285369873
1740007287718523000,0.89252294921875,2.4566619396209717,-1.8832591772079468,-1.1118090152740479
1740007287728504800,0.9025048828125,2.553499460220337,-1.9636181592941284,-0.6828712224960327
1740007287738486800,0.91248681640625,2.6890814304351807,-2.1589975357055664,-0.2351970672607422
1740007287748469800,0.9224697265625,2.8116371631622314,-2.428199529647827,0.19025063514709473
1740007287758452000,0.932451904296875,2.8415839672088623,-2.624173164367676,0.5660876631736755
1740007287768434000,0.942433837890625,2.777556896209717,-2.6299893856048584,0.8493273258209229
1740007287778415900,0.952415771484375,2.6801509857177734,-2.395906686782837,1.0029044151306152
1740007287788397800,0.962397705078125,2.631492853164673,-2.0722343921661377,1.0733846426010132
1740007287798379800,0.9723798828125,2.6474196910858154,-1.8331581354141235,1.084275722503662
1740007287808361700,0.98236181640625,2.648435115814209,-1.7058526277542114,1.0728733539581299
1740007287818344000,0.992343994140625,2.627439260482788,-1.602452278137207,1.0515861511230469
1740007287828325600,1.00232568359375,2.5844316482543945,-1.478811502456665,0.9919478893280029
1740007287838307800,1.012307861328125,2.4912426471710205,-1.3096344470977783,0.8779723048210144
1740007287848290000,1.0222900390625,2.3638339042663574,-1.0567418336868286,0.7043677568435669
1740007287858271700,1.032271728515625,2.2544682025909424,-0.7374055981636047,0.5312702655792236
1740007287868254000,1.04225390625,2.186535596847534,-0.4400380849838257,0.4221096932888031
1740007287878236000,1.05223583984375,2.186566114425659,-0.35332876443862915,0.4144986569881439
1740007287888217900,1.0622177734375,2.196272611618042,-0.6105243563652039,0.4531291425228119
1740007287898199800,1.07219970703125,2.1877686977386475,-1.0286701917648315,0.488275945186615
1740007287908182000,1.08218212890625,2.1142542362213135,-1.346919059753418,0.4770813286304474
1740007287918165000,1.0921650390625,1.9131118059158325,-1.4549990892410278,0.35110077261924744
1740007287928147000,1.10214697265625,1.6081883907318115,-1.3705220222473145,0.12887515127658844
1740007287938129000,1.11212890625,1.3037097454071045,-1.1470615863800049,-0.10005602985620499
1740007287948110800,1.12211083984375,1.021832823753357,-0.941810667514801,-0.29987698793411255
1740007287958092800,1.1320927734375,0.77833092212677,-0.8529196977615356,-0.4709659218788147
1740007287968074800,1.14207470703125,0.6017774343490601,-0.7667200565338135,-0.6242811679840088
1740007287978057000,1.152056884765625,0.49765744805336,-0.5963518023490906,-0.7555172443389893
1740007287988038700,1.16203857421875,0.3705578148365021,-0.26058685779571533,-0.856042206287384
1740007287998020900,1.172020751953125,0.15782584249973297,0.08531170338392258,-0.8910204768180847
1740007288008002800,1.1820029296875,-0.16321875154972076,0.36709117889404297,-0.844453752040863
1740007288017984800,1.19198486328125,-0.5396602749824524,0.5877742767333984,-0.7433924078941345
1740007288027967000,1.201967041015625,-0.9068636298179626,0.8333667516708374,-0.6393911242485046
1740007288037949000,1.211948974609375,-1.1843456029891968,1.1302226781845093,-0.5346817970275879
1740007288047931000,1.221930908203125,-1.375306487083435,1.4967825412750244,-0.4264160394668579
1740007288057912800,1.231912841796875,-1.5124469995498657,1.8770776987075806,-0.28496596217155457
1740007288067895000,1.24189501953125,-1.657090663909912,2.285238027572632,-0.10025469958782196
1740007288077877800,1.251877685546875,-1.8241276741027832,2.684170722961426,0.16028821468353271
1740007288087860000,1.26185986328125,-2.0031070709228516,3.0338573455810547,0.518775224685669
1740007288097842000,1.271842041015625,-2.161637306213379,3.2934324741363525,0.9510124325752258
1740007288107823900,1.281823974609375,-2.301844358444214,3.4853391647338867,1.4542415142059326
1740007288117806000,1.29180615234375,-2.402559280395508,3.4661004543304443,1.9619795083999634
1740007288127787800,1.301787841796875,-2.472614288330078,3.2514450550079346,2.4138760566711426
1740007288137770000,1.31177001953125,-2.5551838874816895,3.024862289428711,2.731245756149292
1740007288147752000,1.321751953125,-2.836364507675171,2.746403217315674,2.7681539058685303
1740007288157734000,1.33173388671875,-3.2782726287841797,2.937354803085327,2.5389394760131836
1740007288167715800,1.3417158203125,-3.629828453063965,3.1973695755004883,2.2539255619049072
1740007288177697800,1.35169775390625,-3.792186737060547,3.1605842113494873,2.114248752593994
1740007288187679700,1.3616796875,-3.7642934322357178,2.768423318862915,2.1160852909088135
1740007288197662000,1.371661865234375,-3.5890276432037354,2.196974515914917,2.1453959941864014
